sku,brand,pdf_name,manual_type,pdf_location
ECHEL48IN,Majestic,"ECHEL36,48,60,72 - IN,STIN - ECHELON II - INSTALLATION.pdf",installation,"Majestic/ECHEL36,48,60,72 - IN,STIN - ECHELON II - INSTALLATION.pdf"
ECHEL48STIN,Majestic,"ECHEL36,48,60,72 - IN,STIN - ECHELON II - INSTALLATION.pdf",installation,"Majestic/ECHEL36,48,60,72 - IN,STIN - ECHELON II - INSTALLATION.pdf"
ECHEL60IN,Majestic,"ECHEL36,48,60,72 - IN,STIN - ECHELON II - INSTALLATION.pdf",installation,"Majestic/ECHEL36,48,60,72 - IN,STIN - ECHELON II - INSTALLATION.pdf"
ECHEL72IN,Majestic,"ECHEL36,48,60,72 - IN,STIN - ECHELON II - INSTALLATION.pdf",installation,"Majestic/ECHEL36,48,60,72 - IN,STIN - ECHELON II - INSTALLATION.pdf"
JASPER30IN,Majestic,JASPER30IN.pdf,owner,Majestic/JASPER30IN.pdf
PEARL36STIN,Majestic,"PEARL36STIN,PRIN PEARL II.pdf",owner,"Majestic/PEARL36STIN,PRIN PEARL II.pdf"
PEARL36PRIN,Majestic,"PEARL36STIN,PRIN PEARL II.pdf",owner,"Majestic/PEARL36STIN,PRIN PEARL II.pdf"
ASH50,Majestic,ASH50 - ASHLAND - INSTALLATION.pdf,installation,Majestic/ASH50 - ASHLAND - INSTALLATION.pdf
ASH50,Majestic,ASH50 - ASHLAND.pdf,owner,Majestic/ASH50 - ASHLAND.pdf
MERIDPLA36IN,Majestic,"MERIDPLA36,42 - MERIDIAN PLATINUM.pdf",owner,"Majestic/MERIDPLA36,42 - MERIDIAN PLATINUM.pdf"
MERIDPLA36IL,Majestic,"MERIDPLA36,42 - MERIDIAN PLATINUM.pdf",owner,"Majestic/MERIDPLA36,42 - MERIDIAN PLATINUM.pdf"
MERIDPLA42IN,Majestic,"MERIDPLA36,42 - MERIDIAN PLATINUM.pdf",owner,"Majestic/MERIDPLA36,42 - MERIDIAN PLATINUM.pdf"
MERIDPLA42IL,Majestic,"MERIDPLA36,42 - MERIDIAN PLATINUM.pdf",owner,"Majestic/MERIDPLA36,42 - MERIDIAN PLATINUM.pdf"
Z240,Majestic,"MERIDPLA36,42 - MERIDIAN PLATINUM.pdf",owner,"Majestic/MERIDPLA36,42 - MERIDIAN PLATINUM.pdf"
BE36,Majestic,"BE36,42 - ROYALTON - INSTALLATION.pdf",installation,"Majestic/BE36,42 - ROYALTON - INSTALLATION.pdf"
BE42,Majestic,"BE36,42 - ROYALTON - INSTALLATION.pdf",installation,"Majestic/BE36,42 - ROYALTON - INSTALLATION.pdf"
MARQ42STIN,Majestic,MARQ42STIN - MARQUIS - INSTALLATION.pdf,installation,Majestic/MARQ42STIN - MARQUIS - INSTALLATION.pdf
MARQ36IN-B,Majestic,"MARQ36,42-B - MARQUIS - INSTALLATION.pdf",installation,"Majestic/MARQ36,42-B - MARQUIS - INSTALLATION.pdf"
MARQ42IN-B,Majestic,"MARQ36,42-B - MARQUIS - INSTALLATION.pdf",installation,"Majestic/MARQ36,42-B - MARQUIS - INSTALLATION.pdf"
DSR36,Majestic,DSR36 - INSTALLATION.pdf,installation,Majestic/DSR36 - INSTALLATION.pdf
MERID36IN,Majestic,"MERID36,42 - MERIDIAN.pdf",owner,"Majestic/MERID36,42 - MERIDIAN.pdf"
MERID36IL,Majestic,"MERID36,42 - MERIDIAN.pdf",owner,"Majestic/MERID36,42 - MERIDIAN.pdf"
MERID42IN,Majestic,"MERID36,42 - MERIDIAN.pdf",owner,"Majestic/MERID36,42 - MERIDIAN.pdf"
MERID42IL,Majestic,"MERID36,42 - MERIDIAN.pdf",owner,"Majestic/MERID36,42 - MERIDIAN.pdf"
Z240,Majestic,"MERID36,42 - MERIDIAN.pdf",owner,"Majestic/MERID36,42 - MERIDIAN.pdf"
MDVI30IN,Majestic,"MDVI30,35 - RUBY.pdf",owner,"Majestic/MDVI30,35 - RUBY.pdf"
MDVI35IN,Majestic,"MDVI30,35 - RUBY.pdf",owner,"Majestic/MDVI30,35 - RUBY.pdf"
MDVI30IL,Majestic,"MDVI30,35 - RUBY.pdf",owner,"Majestic/MDVI30,35 - RUBY.pdf"
MDVI35IL,Majestic,"MDVI30,35 - RUBY.pdf",owner,"Majestic/MDVI30,35 - RUBY.pdf"
BE36,Majestic,"BE36,42 - ROYALTON.pdf",owner,"Majestic/BE36,42 - ROYALTON.pdf"
BE42,Majestic,"BE36,42 - ROYALTON.pdf",owner,"Majestic/BE36,42 - ROYALTON.pdf"
MERID36IN,Majestic,"MERID36,42 - MERIDIAN - INSTALLATION.pdf",installation,"Majestic/MERID36,42 - MERIDIAN - INSTALLATION.pdf"
MERID36IL,Majestic,"MERID36,42 - MERIDIAN - INSTALLATION.pdf",installation,"Majestic/MERID36,42 - MERIDIAN - INSTALLATION.pdf"
MERID42IN,Majestic,"MERID36,42 - MERIDIAN - INSTALLATION.pdf",installation,"Majestic/MERID36,42 - MERIDIAN - INSTALLATION.pdf"
MERID42IL,Majestic,"MERID36,42 - MERIDIAN - INSTALLATION.pdf",installation,"Majestic/MERID36,42 - MERIDIAN - INSTALLATION.pdf"
VDY24/18,Majestic,"VDY18,24,30 - DUZY.pdf",,"Majestic/VDY18,24,30 - DUZY.pdf"
VDY30,Majestic,"VDY18,24,30 - DUZY.pdf",,"Majestic/VDY18,24,30 - DUZY.pdf"
VDY24/18D2A,Majestic,"VDY18,24,30 - DUZY.pdf",,"Majestic/VDY18,24,30 - DUZY.pdf"
RBV4236IH,Majestic,"RBV4236, RBV4842 - REVEAL B-VENT - INSTALLATION.pdf",owner,"Majestic/RBV4236, RBV4842 - REVEAL B-VENT - INSTALLATION.pdf"
