sku,series,brand,pdf_name,manual_type,pdf_location
EPI22-1,,Timberwolf,W415-2799_EPI22-1 (CSA)_CeCf_05.07.21.pdf,,Timberwolf/W415-2799_EPI22-1 (CSA)_CeCf_05.07.21.pdf
TPS35,,Timberwolf,W415-0865_TPSI35.pdf,,Timberwolf/W415-0865_TPSI35.pdf
TPI35,,Timberwolf,W415-0865_TPSI35.pdf,,Timberwolf/W415-0865_TPSI35.pdf
2200-1,,Timberwolf,2100-1-Manual.pdf,installation,Timberwolf/2100-1-Manual.pdf
2100-1,,Timberwolf,2200-1-Installation-Manual-MAR20.pdf,installation,Timberwolf/2200-1-Installation-Manual-MAR20.pdf
