ID,brand,c__productCategory,manufacturerSKU,c__baseSku,c__series,c__installationManual,installationManualFileName(.pdf),matched_manual
majestic-pearl-ii-see-through-36-direct-vent-gas-fireplace-pearl36stin,Majestic,Gas Fireplaces,PEARL36STIN,PEARL36STIN,Pearl II,pdf/pearl36stin.pdf,pearl36stin,"Majestic/PEARL36STIN,PRIN PEARL II - INSTALLATION.pdf"
dimplex-ignitexl-74-inch-wall-mount-linear-electric-fireplace-xlf74,Dimplex,Electric Fireplaces,XLF74,,IgniteXL,pdf/xlf74.pdf,xlf74,Dimplex/XLF100_Dimplex.pdf
majestic-echelon-ii-36-inch-linear-direct-vent-gas-fireplace-echel36in-c,Majestic,Gas Fireplaces,ECHEL36IN-C,ECHEL36IN,Echelon II,pdf/echel36in-c.pdf,echel36in-c,"Majestic/ECHEL36,48,60,72 - IN,STIN - ECHELON II - INSTALLATION.pdf"
majestic-30-campfire-fiber-gas-log-set-propane-gas-cfl-30lp-c,Majestic,Gas Log Sets,CFL-30LP-C,CFL-30,Campfire,pdf/cfl-30lp-c.pdf,cfl-30lp-c,"Majestic/CFL-18-C,24-C, 30-C_owners-manual.pdf"
empire-rushmore-40-direct-vent-gas-fireplace-dvct40cbp,Empire,Gas Fireplaces,DVCT40CBP95N,DVCT40,Rushmore,pdf/dvct40cbp95n.pdf,dvct40cbp95n,Empire/DVCT40CSP95NP-1-Installer 40651-3-0520.pdf
empire-tahoe-deluxe-42-direct-vent-gas-fireplace-dvd42fp,Empire,Gas Fireplaces,DVD42FP30N,DVD42,Tahoe,pdf/dvd42fp30n.pdf,dvd42fp30n,Empire/DVD42FP-Tahoe-Deluxe-Fireplace.pdf
empire-cast-iron-medium-direct-vent-gas-stove-dvp30cc,Empire,Gas Stoves,DVP30CC30FN,DVP30,Cast Iron,pdf/dvp30cc30fn.pdf,dvp30cc30fn,Empire/DVP36FP3579.pdf
majestic-plaza-linear-vent-free-gas-fire-pit-odplaza-l24,Majestic,Outdoor Gas Firepits,ODPLAZA-L24S,ODPLAZA-L24,Plaza,pdf/odplaza-l24s.pdf,odplaza-l24s,"Majestic/CFL-18-C,24-C, 30-C_owners-manual.pdf"
majestic-ruby-35-direct-vent-gas-insert-ruby35,Majestic,Gas Inserts,RUBY35IN,RUBY35,Ruby,pdf/ruby35in.pdf,ruby35in,"Majestic/RUBY25,30,35 - RUBY.pdf"
majestic-fortress-36-indoor-outdoor-See-Thru-gas-fireplace-odfortg-36,Majestic,Gas Fireplaces,ODFORTG-36,ODFORTG-36,,pdf/odfortg-36.pdf,odfortg-36,"Majestic/LCOR,RCOR-DV36IN - INSTALLATION.pdf"
empire-loft-medium-vent-free-gas-insert-vflc28,Empire,Gas Inserts,VFLC28IN32N,VFLC28,Loft,pdf/vflc28in32n.pdf,vflc28in32n,Empire/VFLC102028IN3272NP-1.pdf
majestic-villawood-42-outdoor-wood-fireplace-odvilla-42t-odvilla-42h,Majestic,Outdoor Wood Fireplaces,ODVILLA-42T,,Villawood,pdf/odvilla-42t.pdf,odvilla-42t,"Majestic/JADE 32, 42 - INSTALLATION.pdf"
